"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Thermohygrometer"
"TIMESTAMP","RECORD","TC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2021-12-03 09:20:01",256353,21.66,37.75
"2021-12-03 09:20:02",256354,21.68,37.72
"2021-12-03 09:20:03",256355,21.69,37.68
"2021-12-03 09:20:04",256356,21.69,37.66
"2021-12-03 09:20:05",256357,21.72,37.63
"2021-12-03 09:20:06",256358,21.7,37.52
"2021-12-03 09:20:07",256359,21.7,37.47
"2021-12-03 09:20:08",256360,21.71,37.39
"2021-12-03 09:20:09",256361,21.76,37.38
"2021-12-03 09:20:10",256362,21.76,37.29
"2021-12-03 09:20:11",256363,21.78,37.23
"2021-12-03 09:20:12",256364,21.79,37.23
"2021-12-03 09:20:13",256365,21.8,37.24
"2021-12-03 09:20:14",256366,21.79,37.19
"2021-12-03 09:20:15",256367,21.82,37.17
"2021-12-03 09:20:16",256368,21.83,37.11
"2021-12-03 09:20:17",256369,21.83,37.08
"2021-12-03 09:20:18",256370,21.91,37.03
"2021-12-03 09:20:19",256371,21.93,37
"2021-12-03 09:20:20",256372,21.95,36.98
"2021-12-03 09:20:21",256373,21.92,36.96
"2021-12-03 09:20:22",256374,21.97,36.94
"2021-12-03 09:20:23",256375,21.98,36.9
"2021-12-03 09:20:24",256376,21.99,36.84
"2021-12-03 09:20:25",256377,22.02,36.83
"2021-12-03 09:20:26",256378,22.06,36.71
"2021-12-03 09:20:27",256379,22.07,36.74
"2021-12-03 09:20:28",256380,22.09,36.68
"2021-12-03 09:20:29",256381,22.08,36.64
"2021-12-03 09:20:30",256382,22.05,36.6
"2021-12-03 09:20:31",256383,22.11,36.6
"2021-12-03 09:20:32",256384,22.11,36.47
"2021-12-03 09:20:33",256385,22.14,36.42
"2021-12-03 09:20:34",256386,22.16,36.37
"2021-12-03 09:20:35",256387,22.19,36.29
"2021-12-03 09:20:36",256388,22.22,36.22
"2021-12-03 09:20:37",256389,22.24,36.13
"2021-12-03 09:20:38",256390,22.25,36.06
"2021-12-03 09:20:39",256391,22.25,36.01
"2021-12-03 09:20:40",256392,22.28,35.98
"2021-12-03 09:20:41",256393,22.27,35.91
"2021-12-03 09:20:42",256394,22.29,35.86
"2021-12-03 09:20:43",256395,22.32,35.82
"2021-12-03 09:20:44",256396,22.36,35.75
"2021-12-03 09:20:45",256397,22.38,35.67
"2021-12-03 09:20:46",256398,22.41,35.62
"2021-12-03 09:20:47",256399,22.41,35.55
"2021-12-03 09:20:48",256400,22.42,35.55
"2021-12-03 09:20:49",256401,22.44,35.54
"2021-12-03 09:20:50",256402,22.45,35.46
"2021-12-03 09:20:51",256403,22.5,35.41
"2021-12-03 09:20:52",256404,22.51,35.35
"2021-12-03 09:20:53",256405,22.56,35.31
"2021-12-03 09:20:54",256406,22.58,35.25
