"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Sonic_Anemometer"
"TIMESTAMP","RECORD","u","v","w","t"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2021-12-03 09:15:16.4",5125833,0.054,0.009,0.052,21.58
"2021-12-03 09:15:16.45",5125834,0.054,0.009,0.052,21.61
"2021-12-03 09:15:16.5",5125835,0.056,0.006,0.052,21.56
"2021-12-03 09:15:16.55",5125836,0.055,0.008,0.05,21.58
"2021-12-03 09:15:16.6",5125837,0.056,0.008,0.052,21.63
"2021-12-03 09:15:16.65",5125838,0.056,0.005,0.05,21.58
"2021-12-03 09:15:16.7",5125839,0.058,0.007,0.051,21.59
"2021-12-03 09:15:16.75",5125840,0.057,0.002,0.05,21.63
"2021-12-03 09:15:16.8",5125841,0.058,0.003,0.05,21.62
"2021-12-03 09:15:16.85",5125842,0.057,0.003,0.049,21.62
"2021-12-03 09:15:16.9",5125843,0.059,0.004,0.053,21.58
"2021-12-03 09:15:16.95",5125844,0.057,0.001,0.05,21.63
"2021-12-03 09:15:17",5125845,0.061,0.004,0.051,21.58
"2021-12-03 09:15:17.05",5125846,0.06,0.004,0.052,21.59
"2021-12-03 09:15:17.1",5125847,0.058,0.003,0.051,21.63
"2021-12-03 09:15:17.15",5125848,0.057,0.001,0.054,21.61
"2021-12-03 09:15:17.2",5125849,0.058,0.004,0.053,21.63
"2021-12-03 09:15:17.25",5125850,0.056,0.002,0.054,21.58
"2021-12-03 09:15:17.3",5125851,0.058,0.003,0.053,21.61
"2021-12-03 09:15:17.35",5125852,0.058,0.003,0.055,21.61
"2021-12-03 09:15:17.4",5125853,0.056,0.001,0.054,21.63
"2021-12-03 09:15:17.45",5125854,0.058,0.005,0.055,21.59
"2021-12-03 09:15:17.5",5125855,0.057,0.003,0.054,21.61
"2021-12-03 09:15:17.55",5125856,0.06,0.003,0.053,21.61
