Fine validità (UTC)	wndDir	wndSpeed										
20/12/2015 00:00:00	221	3										
20/12/2015 01:00:00	214	2.5										
20/12/2015 02:00:00	220	2.3										
20/12/2015 03:00:00	224	2.5										
20/12/2015 04:00:00	221	2.4										
20/12/2015 05:00:00	211	2.8										
20/12/2015 06:00:00	215	2.7										
20/12/2015 07:00:00	211	2.9										
20/12/2015 08:00:00	212	3										
20/12/2015 09:00:00	241	1.8										
20/12/2015 10:00:00	264	1.9										
20/12/2015 11:00:00	256	1.4										
20/12/2015 12:00:00	308	0.8										
20/12/2015 13:00:00	296	1.1										
20/12/2015 14:00:00	332	0.9										
20/12/2015 15:00:00	338	1										
20/12/2015 16:00:00	161	0.8										
20/12/2015 17:00:00	128	1.7										
20/12/2015 18:00:00	124	1.1										
20/12/2015 19:00:00	216	0.8										
20/12/2015 20:00:00	234	1.7										
20/12/2015 21:00:00	358	0.5										
20/12/2015 22:00:00	250	0.3										
20/12/2015 23:00:00	228	0.3										
21/12/2015 00:00:00	351	0.4										
21/12/2015 01:00:00	348	0.6										
21/12/2015 02:00:00	356	0.5										
21/12/2015 03:00:00	59	0.3										
21/12/2015 04:00:00	255	0.3										
21/12/2015 05:00:00	231	1.8										
21/12/2015 06:00:00	219	0.8										
21/12/2015 07:00:00	44	0.5										
21/12/2015 08:00:00	230	0.6										
21/12/2015 09:00:00	285	0.8										
21/12/2015 10:00:00	57	1.8										
21/12/2015 11:00:00	342	1.7										
21/12/2015 12:00:00	9	1.3										
21/12/2015 13:00:00	353	2										
21/12/2015 14:00:00	317	0.9										
21/12/2015 15:00:00	350	1										
21/12/2015 16:00:00	10	0.9										
21/12/2015 17:00:00	248	0.6										
21/12/2015 18:00:00	244	1.2										
21/12/2015 19:00:00	235	1.2										
21/12/2015 20:00:00	243	1										
21/12/2015 21:00:00	352	1.2										
21/12/2015 22:00:00	35	0.6										
21/12/2015 23:00:00	309	0.4										
22/12/2015 00:00:00	1	0.2										
22/12/2015 01:00:00	202	1.9										
22/12/2015 02:00:00	213	0.8										
22/12/2015 03:00:00	326	0.2										
22/12/2015 04:00:00	236	0.8										
22/12/2015 05:00:00	318	0.7										
22/12/2015 06:00:00	238	0.3										
